run_id,batch_name,started_at,ended_at,rows_read,rows_valid,rows_rejected,rows_duplicate,rows_loaded,watermark_before,watermark_after,status,error_message
batch_1_20260818T154029756094,batch_1,2026-08-18T08:40:29+00:00,2026-08-18T08:40:31+00:00,420,383,37,0,383,,2026-03-22T23:59:00,SUCCESS,
batch_1_20260818T154031164812,batch_1,2026-08-18T08:40:31+00:00,2026-08-18T08:40:31+00:00,420,383,37,0,0,2026-03-22T23:59:00,2026-03-22T23:59:00,SUCCESS,
batch_2_20260818T154031805783,batch_2,2026-08-18T08:40:31+00:00,2026-08-18T08:40:32+00:00,424,380,44,1,380,2026-03-22T23:59:00,2026-05-07T23:59:00,SUCCESS,
batch_3_20260818T154032398087,batch_3,2026-08-18T08:40:32+00:00,2026-08-18T08:40:33+00:00,424,380,44,3,379,2026-05-07T23:59:00,2026-06-22T23:59:00,SUCCESS,
